ODS,Year,Q,Variable,Value
RTP,2017,Q4,General and Accute - Occupied,597
RTQ,2017,Q4,General and Accute - Available,
RTQ,2017,Q4,General and Accute - Occupied,
RVJ,2017,Q4,General and Accute - Available,892
RVJ,2017,Q4,General and Accute - Occupied,866
RVN,2017,Q4,General and Accute - Available,
RVN,2017,Q4,General and Accute - Occupied,
RVV,2017,Q4,General and Accute - Available,1015
RVV,2017,Q4,General and Accute - Occupied,953
RW1,2017,Q4,General and Accute - Available,65
RW1,2017,Q4,General and Accute - Occupied,61
RWF,2017,Q4,General and Accute - Available,808
RWF,2017,Q4,General and Accute - Occupied,754
RWV,2017,Q4,General and Accute - Available,
RWV,2017,Q4,General and Accute - Occupied,
RWX,2017,Q4,General and Accute - Available,46
RWX,2017,Q4,General and Accute - Occupied,43
RX2,2017,Q4,General and Accute - Available,
RX2,2017,Q4,General and Accute - Occupied,
RXC,2017,Q4,General and Accute - Available,775
RXC,2017,Q4,General and Accute - Occupied,708
RXH,2017,Q4,General and Accute - Available,815
RXH,2017,Q4,General and Accute - Occupied,784
RXQ,2017,Q4,General and Accute - Available,713
RXQ,2017,Q4,General and Accute - Occupied,704
RXX,2017,Q4,General and Accute - Available,
RXX,2017,Q4,General and Accute - Occupied,
RXY,2017,Q4,General and Accute - Available,
RXY,2017,Q4,General and Accute - Occupied,
RYR,2017,Q4,General and Accute - Available,956
RYR,2017,Q4,General and Accute - Occupied,936
 RAE ,2017,Q1,General and Accute - Available,644
 RAE ,2017,Q1,General and Accute - Occupied,423
 RBL ,2017,Q1,General and Accute - Available,722
 RBL ,2017,Q1,General and Accute - Occupied,637
 RBN ,2017,Q1,General and Accute - Available,669
 RBN ,2017,Q1,General and Accute - Occupied,630
 RBQ ,2017,Q1,General and Accute - Available,150
 RBQ ,2017,Q1,General and Accute - Occupied,135
 RBS ,2017,Q1,General and Accute - Available,227
 RBS ,2017,Q1,General and Accute - Occupied,185
 RBT ,2017,Q1,General and Accute - Available,546
 RBT ,2017,Q1,General and Accute - Occupied,460
 RBV ,2017,Q1,General and Accute - Available,177
 RBV ,2017,Q1,General and Accute - Occupied,160
 RCB ,2017,Q1,General and Accute - Available,984
 RCB ,2017,Q1,General and Accute - Occupied,898
 RCD ,2017,Q1,General and Accute - Available,310
 RCD ,2017,Q1,General and Accute - Occupied,265
 RCF ,2017,Q1,General and Accute - Available,340
 RCF ,2017,Q1,General and Accute - Occupied,308
 RCU ,2017,Q1,General and Accute - Available,139
 RCU ,2017,Q1,General and Accute - Occupied,97
 RE9 ,2017,Q1,General and Accute - Available,303
 RE9 ,2017,Q1,General and Accute - Occupied,254
 REM ,2017,Q1,General and Accute - Available,726
 REM ,2017,Q1,General and Accute - Occupied,695
 REN ,2017,Q1,General and Accute - Available,74
 REN ,2017,Q1,General and Accute - Occupied,43
 REP ,2017,Q1,General and Accute - Available,31
 REP ,2017,Q1,General and Accute - Occupied,19
 RET ,2017,Q1,General and Accute - Available,169
 RET ,2017,Q1,General and Accute - Occupied,138
 RFF ,2017,Q1,General and Accute - Available,336
 RFF ,2017,Q1,General and Accute - Occupied,326
 RFR ,2017,Q1,General and Accute - Available,442
 RFR ,2017,Q1,General and Accute - Occupied,405
 RGD ,2017,Q1,General and Accute - Available,
 RGD ,2017,Q1,General and Accute - Occupied,
 RHQ ,2017,Q1,General and Accute - Available,1485
 RHQ ,2017,Q1,General and Accute - Occupied,1429
 RJL ,2017,Q1,General and Accute - Available,746
 RJL ,2017,Q1,General and Accute - Occupied,640
 RJN ,2017,Q1,General and Accute - Available,312
 RJN ,2017,Q1,General and Accute - Occupied,274
 RJR ,2017,Q1,General and Accute - Available,527
 RJR ,2017,Q1,General and Accute - Occupied,497
 RLN ,2017,Q1,General and Accute - Available,728
 RLN ,2017,Q1,General and Accute - Occupied,583
 RM2 ,2017,Q1,General and Accute - Available,742
 RM2 ,2017,Q1,General and Accute - Occupied,661
 RM3 ,2017,Q1,General and Accute - Available,774
 RM3 ,2017,Q1,General and Accute - Occupied,703
 RMC ,2017,Q1,General and Accute - Available,588
 RMC ,2017,Q1,General and Accute - Occupied,511
 RMP ,2017,Q1,General and Accute - Available,416
 RMP ,2017,Q1,General and Accute - Occupied,387
 RNL ,2017,Q1,General and Accute - Available,544
 RNL ,2017,Q1,General and Accute - Occupied,476
 RNN ,2017,Q1,General and Accute - Available,
 RNN ,2017,Q1,General and Accute - Occupied,
 RP5 ,2017,Q1,General and Accute - Available,757
 RP5 ,2017,Q1,General and Accute - Occupied,675
 RQ6 ,2017,Q1,General and Accute - Available,814
 RQ6 ,2017,Q1,General and Accute - Occupied,749
 RR7 ,2017,Q1,General and Accute - Available,503
 RR7 ,2017,Q1,General and Accute - Occupied,444
 RR8 ,2017,Q1,General and Accute - Available,1699
 RR8 ,2017,Q1,General and Accute - Occupied,1600
 RRF ,2017,Q1,General and Accute - Available,463
 RRF ,2017,Q1,General and Accute - Occupied,384
 RT2 ,2017,Q1,General and Accute - Available,
 RT2 ,2017,Q1,General and Accute - Occupied,
 RTD ,2017,Q1,General and Accute - Available,1490
 RTD ,2017,Q1,General and Accute - Occupied,1243
 RTF ,2017,Q1,General and Accute - Available,920
 RTF ,2017,Q1,General and Accute - Occupied,749
 RTR ,2017,Q1,General and Accute - Available,899
 RTR ,2017,Q1,General and Accute - Occupied,796
